timestamp,algoritmo,tamaño_clave,curva,longitud_cadena,iteracion,tiempo_handshake_s,tiempo_handshake_ms,tamaño_certificados_bytes,exitoso,label
2026-05-17T13:31:29.787793,RSA,2048,,3,12,0.001551,1.551,5076,True,RSA-2048
2026-05-17T13:31:29.787840,RSA,2048,,3,13,0.001578,1.578,5076,True,RSA-2048
2026-05-17T13:31:29.787905,RSA,2048,,3,14,0.00148,1.48,5076,True,RSA-2048
2026-05-17T13:31:29.787945,RSA,2048,,3,15,0.001628,1.628,5076,True,RSA-2048
2026-05-17T13:31:29.787993,RSA,2048,,3,16,0.001481,1.481,5076,True,RSA-2048
2026-05-17T13:31:29.788084,RSA,2048,,3,17,0.001511,1.511,5076,True,RSA-2048
2026-05-17T13:31:29.788135,RSA,2048,,3,18,0.001429,1.429,5076,True,RSA-2048
2026-05-17T13:31:29.788210,RSA,2048,,3,19,0.001637,1.637,5076,True,RSA-2048
2026-05-17T13:31:29.788263,RSA,2048,,3,20,0.001484,1.484,5076,True,RSA-2048
2026-05-17T13:31:29.788312,RSA,2048,,3,21,0.001536,1.536,5076,True,RSA-2048
2026-05-17T13:31:29.788387,RSA,2048,,3,22,0.00146,1.46,5076,True,RSA-2048
2026-05-17T13:31:29.788429,RSA,2048,,3,23,0.001603,1.603,5076,True,RSA-2048
2026-05-17T13:31:29.788502,RSA,2048,,3,24,0.001511,1.511,5076,True,RSA-2048
2026-05-17T13:31:29.788555,RSA,2048,,3,25,0.00149,1.49,5076,True,RSA-2048
2026-05-17T13:31:29.788608,RSA,2048,,3,26,0.001406,1.406,5076,True,RSA-2048
2026-05-17T13:31:29.788652,RSA,2048,,3,27,0.001374,1.374,5076,True,RSA-2048
2026-05-17T13:31:29.788729,RSA,2048,,3,28,0.001557,1.557,5076,True,RSA-2048
2026-05-17T13:31:29.788806,RSA,2048,,3,29,0.001468,1.468,5076,True,RSA-2048
2026-05-17T13:31:29.788854,RSA,2048,,3,30,0.001478,1.478,5076,True,RSA-2048
2026-05-17T13:31:30.352927,RSA,3072,,0,1,0.003599,3.599,1602,True,RSA-3072
2026-05-17T13:31:30.353104,RSA,3072,,0,2,0.002701,2.701,1602,True,RSA-3072
2026-05-17T13:31:30.353181,RSA,3072,,0,3,0.002481,2.481,1602,True,RSA-3072
2026-05-17T13:31:30.353239,RSA,3072,,0,4,0.002479,2.479,1602,True,RSA-3072
2026-05-17T13:31:30.353291,RSA,3072,,0,5,0.002333,2.333,1602,True,RSA-3072
2026-05-17T13:31:30.353346,RSA,3072,,0,6,0.002301,2.301,1602,True,RSA-3072
2026-05-17T13:31:30.353396,RSA,3072,,0,7,0.002278,2.278,1602,True,RSA-3072
2026-05-17T13:31:30.353439,RSA,3072,,0,8,0.002282,2.282,1602,True,RSA-3072
2026-05-17T13:31:30.353517,RSA,3072,,0,9,0.002279,2.279,1602,True,RSA-3072
2026-05-17T13:31:30.353590,RSA,3072,,0,10,0.002244,2.244,1602,True,RSA-3072
2026-05-17T13:31:30.353657,RSA,3072,,0,11,0.002191,2.191,1602,True,RSA-3072
2026-05-17T13:31:30.353705,RSA,3072,,0,12,0.002115,2.115,1602,True,RSA-3072
2026-05-17T13:31:30.353750,RSA,3072,,0,13,0.002209,2.209,1602,True,RSA-3072
2026-05-17T13:31:30.353790,RSA,3072,,0,14,0.002137,2.137,1602,True,RSA-3072
2026-05-17T13:31:30.353829,RSA,3072,,0,15,0.002121,2.121,1602,True,RSA-3072
2026-05-17T13:31:30.353867,RSA,3072,,0,16,0.002107,2.107,1602,True,RSA-3072
2026-05-17T13:31:30.353903,RSA,3072,,0,17,0.002063,2.063,1602,True,RSA-3072
2026-05-17T13:31:30.353940,RSA,3072,,0,18,0.00212,2.12,1602,True,RSA-3072
2026-05-17T13:31:30.353976,RSA,3072,,0,19,0.002271,2.271,1602,True,RSA-3072
2026-05-17T13:31:30.354012,RSA,3072,,0,20,0.002094,2.094,1602,True,RSA-3072
2026-05-17T13:31:30.354048,RSA,3072,,0,21,0.002037,2.037,1602,True,RSA-3072
2026-05-17T13:31:30.354084,RSA,3072,,0,22,0.002038,2.038,1602,True,RSA-3072
2026-05-17T13:31:30.354120,RSA,3072,,0,23,0.002061,2.061,1602,True,RSA-3072
2026-05-17T13:31:30.354155,RSA,3072,,0,24,0.002034,2.034,1602,True,RSA-3072
2026-05-17T13:31:30.354191,RSA,3072,,0,25,0.002124,2.124,1602,True,RSA-3072
2026-05-17T13:31:30.354226,RSA,3072,,0,26,0.002164,2.164,1602,True,RSA-3072
2026-05-17T13:31:30.354261,RSA,3072,,0,27,0.002131,2.131,1602,True,RSA-3072
2026-05-17T13:31:30.354296,RSA,3072,,0,28,0.002116,2.116,1602,True,RSA-3072
2026-05-17T13:31:30.354331,RSA,3072,,0,29,0.002106,2.106,1602,True,RSA-3072
2026-05-17T13:31:30.354366,RSA,3072,,0,30,0.002139,2.139,1602,True,RSA-3072
2026-05-17T13:31:31.105321,RSA,3072,,1,1,0.022473,22.473,3220,True,RSA-3072
2026-05-17T13:31:31.105704,RSA,3072,,1,2,0.002849,2.849,3220,True,RSA-3072
